model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,runtime_seconds,dataset,protocol,landmark_percent,snapshot_variant,train_snapshots_per_class,test_snapshots_per_class,feature_space
svm,0.504,0.504,0.5020120724346077,0.998,0.6680053547523427,0.374776,0.535679150383849,0.2545156478881836,south_german_credit,clean,10.0,historical500,500,500,barcode
knn,0.481,0.481,0.4900314795383001,0.934,0.64280798348245,0.279044,0.3858629497613199,0.1413862705230713,south_german_credit,clean,10.0,historical500,500,500,barcode
xgb,0.5,0.5,0.5,1.0,0.6666666666666666,0.5869639999999999,0.5651446174445258,0.5629072189331055,south_german_credit,clean,10.0,historical500,500,500,barcode
logistic,0.473,0.473,0.4857444561774023,0.92,0.635798203178991,0.817884,0.8777858659010914,0.0721025466918945,south_german_credit,clean,20.0,historical500,500,500,barcode
random_forest,0.501,0.501,0.5005005005005005,1.0,0.66711140760507,0.606276,0.5671984082605181,0.7756972312927246,south_german_credit,clean,20.0,historical500,500,500,barcode
svm,0.479,0.479,0.4890965732087227,0.942,0.6438824333561176,0.837804,0.864564020323858,0.2315537929534912,south_german_credit,clean,20.0,historical500,500,500,barcode
knn,0.466,0.466,0.4822916666666667,0.926,0.6342465753424658,0.46758,0.4838693734409481,0.1415998935699463,south_german_credit,clean,20.0,historical500,500,500,barcode
xgb,0.504,0.504,0.5020120724346077,0.998,0.6680053547523427,0.6863020000000001,0.6574462955239981,0.3877134323120117,south_german_credit,clean,20.0,historical500,500,500,barcode
logistic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.053716421127319336,polish_bankruptcy,historical,10.0,historical500,400,100,barcode
random_forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1123850345611572,polish_bankruptcy,historical,10.0,historical500,400,100,barcode
svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08801531791687012,polish_bankruptcy,historical,10.0,historical500,400,100,barcode
knn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4388246536254883,polish_bankruptcy,historical,10.0,historical500,400,100,barcode
