model,best_params,cv_best_f1,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,experiment,dataset,protocol,variant,landmark_percent,setting,features_before,features_after,pca_variance,pca_components
knn,,,0.541,0.541,0.5213764337851929,1.0,0.6854009595613434,0.593,0.5512679162072768,15,pkdd_czech,clean,historical500,20.0,k=20,,,,
linear_regression,,,0.566,0.5660000000000001,0.5353319057815846,1.0,0.697350069735007,,,19,pkdd_czech,clean,historical500,20.0,default,,,,
logistic,"{""C"": 0.1}",1.0,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,4,polish_bankruptcy,historical,revised,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,historical,revised,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""rbf""}",1.0,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,4,polish_bankruptcy,historical,revised,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",1.0,0.8,0.75,1.0,0.5,0.6666666666666666,0.75,0.7,4,polish_bankruptcy,historical,revised,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9523809523809524,0.8,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,4,polish_bankruptcy,historical,revised,10.0,default,,,,
logistic,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,6,polish_bankruptcy,historical,revised,10.0,default,,,,
logistic,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,11,polish_bankruptcy,historical,revised,10.0,default,24.0,8.0,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.75,0.7,15,polish_bankruptcy,historical,revised,10.0,k=1,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.75,0.7,15,polish_bankruptcy,historical,revised,10.0,k=2,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.75,0.7,15,polish_bankruptcy,historical,revised,10.0,k=3,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.75,0.7,15,polish_bankruptcy,historical,revised,10.0,k=4,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.75,0.7,15,polish_bankruptcy,historical,revised,10.0,k=5,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.6666666666666666,0.7,15,polish_bankruptcy,historical,revised,10.0,k=6,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=7,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=8,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=9,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=10,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=11,,,,
knn,,,0.8,0.75,1.0,0.5,0.6666666666666666,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=12,,,,
knn,,,0.6,0.5833333333333333,0.5,0.5,0.5,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=13,,,,
knn,,,0.6,0.5833333333333333,0.5,0.5,0.5,0.5,0.7,15,polish_bankruptcy,historical,revised,10.0,k=14,,,,
knn,,,0.2,0.25,0.25,0.5,0.3333333333333333,0.4166666666666667,0.45,15,polish_bankruptcy,historical,revised,10.0,k=15,,,,
knn,,,0.2,0.25,0.25,0.5,0.3333333333333333,0.25,0.325,15,polish_bankruptcy,historical,revised,10.0,k=16,,,,
linear_regression,,,0.8,0.75,1.0,0.5,0.6666666666666666,,,19,polish_bankruptcy,historical,revised,10.0,default,,,,
logistic,"{""C"": 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,historical,historical500,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,historical,historical500,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,historical,historical500,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,historical,historical500,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9987421383647798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,historical,historical500,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,polish_bankruptcy,historical,historical500,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,polish_bankruptcy,historical,historical500,10.0,default,24.0,8.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=8,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=9,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=10,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=11,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=12,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=13,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=14,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=15,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=16,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=17,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=18,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=19,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,historical500,10.0,k=20,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,polish_bankruptcy,historical,historical500,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,polish_bankruptcy,historical,revised,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,polish_bankruptcy,historical,revised,20.0,default,24.0,6.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=5,,,,
knn,,,0.6666666666666666,0.5,0.0,0.0,0.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,polish_bankruptcy,historical,revised,20.0,k=8,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,polish_bankruptcy,historical,revised,20.0,default,,,,
logistic,"{""C"": 0.1}",1.0,0.8636363636363636,0.8636363636363636,0.7857142857142857,1.0,0.88,1.0,1.0,4,polish_bankruptcy,clean,revised,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,clean,revised,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",1.0,0.8636363636363636,0.8636363636363636,0.7857142857142857,1.0,0.88,1.0,1.0,4,polish_bankruptcy,clean,revised,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",1.0,0.6818181818181818,0.6818181818181819,0.6111111111111112,1.0,0.7586206896551724,0.731404958677686,0.6490800865800866,4,polish_bankruptcy,clean,revised,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,polish_bankruptcy,clean,revised,10.0,default,,,,
logistic,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,1.0,1.0,6,polish_bankruptcy,clean,revised,10.0,default,,,,
logistic,,,0.8636363636363636,0.8636363636363636,0.7857142857142857,1.0,0.88,1.0,1.0,11,polish_bankruptcy,clean,revised,10.0,default,24.0,8.0,,
knn,,,0.6818181818181818,0.6818181818181819,0.6111111111111112,1.0,0.7586206896551724,0.6818181818181819,0.6111111111111112,15,polish_bankruptcy,clean,revised,10.0,k=1,,,,
knn,,,0.6818181818181818,0.6818181818181819,0.6111111111111112,1.0,0.7586206896551724,0.6818181818181819,0.6111111111111112,15,polish_bankruptcy,clean,revised,10.0,k=2,,,,
knn,,,0.6363636363636364,0.6363636363636364,0.5789473684210527,1.0,0.7333333333333333,0.7727272727272727,0.6875,15,polish_bankruptcy,clean,revised,10.0,k=3,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=4,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=5,,,,
knn,,,0.6818181818181818,0.6818181818181819,0.6428571428571429,0.8181818181818182,0.72,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=6,,,,
knn,,,0.6818181818181818,0.6818181818181819,0.6428571428571429,0.8181818181818182,0.72,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=7,,,,
knn,,,0.6818181818181818,0.6818181818181819,0.6428571428571429,0.8181818181818182,0.72,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=8,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=9,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=10,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=11,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6490800865800866,15,polish_bankruptcy,clean,revised,10.0,k=12,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.731404958677686,0.6509740259740261,15,polish_bankruptcy,clean,revised,10.0,k=13,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.7727272727272727,0.6875,15,polish_bankruptcy,clean,revised,10.0,k=14,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.7727272727272727,0.6875,15,polish_bankruptcy,clean,revised,10.0,k=15,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.7727272727272727,0.6875,15,polish_bankruptcy,clean,revised,10.0,k=16,,,,
knn,,,0.7727272727272727,0.7727272727272727,0.6875,1.0,0.8148148148148148,0.7727272727272727,0.6875,15,polish_bankruptcy,clean,revised,10.0,k=17,,,,
knn,,,0.5,0.5,0.0,0.0,0.0,0.6818181818181819,0.6111111111111112,15,polish_bankruptcy,clean,revised,10.0,k=18,,,,
knn,,,0.5,0.5,0.0,0.0,0.0,0.6363636363636364,0.5789473684210527,15,polish_bankruptcy,clean,revised,10.0,k=19,,,,
knn,,,0.5,0.5,0.0,0.0,0.0,0.5,0.5,15,polish_bankruptcy,clean,revised,10.0,k=20,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,polish_bankruptcy,clean,revised,10.0,default,,,,
logistic,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,1.0,1.0,6,polish_bankruptcy,clean,revised,20.0,default,,,,
logistic,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,1.0,1.0,11,polish_bankruptcy,clean,revised,20.0,default,24.0,7.0,,
knn,,,0.75,0.75,0.6666666666666666,1.0,0.8,0.75,0.6666666666666666,15,polish_bankruptcy,clean,revised,20.0,k=1,,,,
knn,,,0.9166666666666666,0.9166666666666669,0.8571428571428571,1.0,0.9230769230769232,0.9166666666666669,0.8571428571428571,15,polish_bankruptcy,clean,revised,20.0,k=2,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.9166666666666666,0.8571428571428571,15,polish_bankruptcy,clean,revised,20.0,k=3,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.9166666666666666,0.8571428571428571,15,polish_bankruptcy,clean,revised,20.0,k=4,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.9166666666666669,0.8571428571428571,15,polish_bankruptcy,clean,revised,20.0,k=5,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.8333333333333334,0.75,15,polish_bankruptcy,clean,revised,20.0,k=6,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.8333333333333333,0.75,15,polish_bankruptcy,clean,revised,20.0,k=7,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.8333333333333334,0.75,15,polish_bankruptcy,clean,revised,20.0,k=8,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.8333333333333334,0.75,15,polish_bankruptcy,clean,revised,20.0,k=9,,,,
knn,,,0.5,0.5,0.0,0.0,0.0,0.75,0.6666666666666666,15,polish_bankruptcy,clean,revised,20.0,k=10,,,,
knn,,,0.8333333333333334,0.8333333333333333,0.75,1.0,0.8571428571428571,0.8333333333333334,0.75,15,polish_bankruptcy,clean,revised,20.0,k=11,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,polish_bankruptcy,clean,revised,20.0,default,,,,
logistic,"{""C"": 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,historical,revised,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,historical,revised,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,historical,revised,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,historical,revised,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9333333333333332,0.8,0.75,1.0,0.5,0.6666666666666666,1.0,1.0,4,taiwan_bankruptcy,historical,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,taiwan_bankruptcy,historical,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,taiwan_bankruptcy,historical,revised,10.0,default,24.0,7.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=8,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=9,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=10,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=11,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=12,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=13,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=14,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=15,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,10.0,k=16,,,,
linear_regression,,,0.8,0.75,1.0,0.5,0.6666666666666666,,,19,taiwan_bankruptcy,historical,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,taiwan_bankruptcy,historical,revised,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,taiwan_bankruptcy,historical,revised,20.0,default,24.0,7.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,historical,revised,20.0,k=8,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,taiwan_bankruptcy,historical,revised,20.0,default,,,,
logistic,"{""C"": 0.1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,clean,revised,10.0,default,,,,
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,clean,revised,10.0,default,,,,
svm,"{""C"": 0.5, ""kernel"": ""linear""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,clean,revised,10.0,default,,,,
knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,taiwan_bankruptcy,clean,revised,10.0,default,,,,
xgb,"{""max_depth"": 3, ""n_estimators"": 100}",0.9523809523809524,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,0.9917355371900828,0.9924242424242424,4,taiwan_bankruptcy,clean,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,taiwan_bankruptcy,clean,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,taiwan_bankruptcy,clean,revised,10.0,default,24.0,11.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=8,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=9,,,,
knn,,,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=10,,,,
knn,,,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=11,,,,
knn,,,0.9090909090909092,0.9090909090909092,1.0,0.8181818181818182,0.9,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=12,,,,
knn,,,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=13,,,,
knn,,,0.8636363636363636,0.8636363636363636,1.0,0.7272727272727273,0.8421052631578947,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=14,,,,
knn,,,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909092,0.9523809523809524,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=15,,,,
knn,,,0.7727272727272727,0.7727272727272727,1.0,0.5454545454545454,0.7058823529411765,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=16,,,,
knn,,,0.8181818181818182,0.8181818181818181,1.0,0.6363636363636364,0.7777777777777778,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=17,,,,
knn,,,0.5454545454545454,0.5454545454545454,1.0,0.0909090909090909,0.1666666666666666,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=18,,,,
knn,,,0.5454545454545454,0.5454545454545454,1.0,0.0909090909090909,0.1666666666666666,1.0,1.0,15,taiwan_bankruptcy,clean,revised,10.0,k=19,,,,
knn,,,0.5454545454545454,0.5454545454545454,1.0,0.0909090909090909,0.1666666666666666,0.5454545454545454,0.5454545454545454,15,taiwan_bankruptcy,clean,revised,10.0,k=20,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,taiwan_bankruptcy,clean,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,taiwan_bankruptcy,clean,revised,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,taiwan_bankruptcy,clean,revised,20.0,default,24.0,7.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=2,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=3,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=4,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=5,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=6,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=7,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=8,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=9,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=10,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,taiwan_bankruptcy,clean,revised,20.0,k=11,,,,
linear_regression,,,1.0,1.0,1.0,1.0,1.0,,,19,taiwan_bankruptcy,clean,revised,20.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,south_german_credit,historical,revised,10.0,default,,,,
logistic,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,south_german_credit,historical,revised,10.0,default,24.0,8.0,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,south_german_credit,historical,revised,10.0,k=1,,,,
knn,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,south_german_credit,historical,revised,10.0,k=2,,,,
